Handle,SKU,Name,Category,Description,Sold by weight,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Cost,Barcode,SKU of included item,Quantity of included item,Track stock,Available for sale [okbooks],Price [okbooks],In stock [okbooks],Low stock [okbooks]
ชามพลาสติก-cpw-52-50*23-50ใบ,13217,ชามพลาสติก CPW 52 50*23 50ใบ,บรรจุภัณฑ์,,N,,,,,,,42.00,,,,N,Y,55.00,,
ชามพลาสติก-cpw-56-50ใบ,13219,ชามพลาสติก CPW 56 50ใบ,บรรจุภัณฑ์,,N,,,,,,,24.00,,,,N,Y,35.00,,
ชามพลาสติก-sb-57-50ใบ,13218,ชามพลาสติก SB 57 50ใบ,บรรจุภัณฑ์,,N,,,,,,,28.00,,,,N,Y,35.00,,
ชามหมา-2-ช่อง,12062,ชามหมา 2 ช่อง,เบ็ดเตล็ด,,N,,,,,,,14.16,8852244103229,,,N,Y,25.00,,
ชามหมา-3-ช่อง-2087,12064,ชามหมา 3 ช่อง 2087,เบ็ดเตล็ด,,N,,,,,,,0.00,8852244208719,,,N,Y,30.00,,
ชามหมากลมใหญ่-1031,12063,ชามหมากลมใหญ่ 1031,เบ็ดเตล็ด,,N,,,,,,,15.00,8852244103120,,,N,Y,25.00,,
ชามหมาเล็ก-2088,12065,ชามหมาเล็ก 2088,เบ็ดเตล็ด,,N,,,,,,,0.00,8852244208818,,,N,Y,20.00,,
"ชาย-ดำ-สักหลาด-ก3ซม.30""-41""ta-05",11490,"ชาย ดำ สักหลาด ก3ซม.30""-41""TA-05",เครื่องแต่งกาย,,N,,,,,,,30.00,,,,N,Y,70.00,,
"ชาย-ดำ-สักหลาด-ก3ซม.30""-41""ta-05-1",11494,"ชาย ดำ สักหลาด ก3ซม.30""-41""TA-05",เครื่องแต่งกาย,,N,,,,,,,28.33,,,,N,Y,70.00,,
"ชาย-ดำ-สักหลาด-กว้าง2-.5ซม.30""-41""",11491,"ชาย ดำ สักหลาด กว้าง2 .5ซม.30""-41""",เครื่องแต่งกาย,,N,,,,,,,28.33,,,,N,Y,60.00,,
"ชาย-ดำ-สักหลาดยาวพิเศษ-ก3ซม.""-""ta-02",11493,"ชาย ดำ สักหลาดยาวพิเศษ ก3ซม.""-""TA-02",เครื่องแต่งกาย,,N,,,,,,,0.00,,,,N,Y,90.00,,
"ชาย-น้ําตาล-สักหลาด-ก3.5ซม.30""-41""ta-02",11492,"ชาย น้ําตาล สักหลาด ก3.5ซม.30""-41""TA-02",เครื่องแต่งกาย,,N,,,,,,,31.70,,,,N,Y,80.00,,
ชื่อลูกค้า..............................,11599,ชื่อลูกค้า..............................,งานรูป,<p>วันรับงาน......................</p>,N,,,,,,,0.00,,,,N,Y,variable,,
ชุด-ครึ่งวงกลม-7-บาท,11696,ชุด ครึ่งวงกลม 7 บาท,เครื่องเขียน,,N,จำนวน,1 โหล,,,,,32.00,,,,N,Y,70.00,,
